model,perturbation_type,example_idx,premise,hypothesis,perturbed_premise,perturbed_hypothesis,label,label_name,split,pred_original,pred_perturbed
microsoft/deberta-base-mnli,extra_relative,4,"Zoom-out vs. zoom- Ever since Roe , pro-life posters and pamphlets have depicted isolated fetuses.",It's been argued that pro-life posters are seeking to humanize the unborn through these depictions.,"Zoom, who is known to the local community, - out vs. zoom -","It 's been argued that pro-life posters, who is known to the local community, are seeking to humanize the unborn through these depictions .",1,neutral,matched,1,2
typeform/distilbert-base-uncased-mnli,relative_clause,4,"Zoom-out vs. zoom- Ever since Roe , pro-life posters and pamphlets have depicted isolated fetuses.",It's been argued that pro-life posters are seeking to humanize the unborn through these depictions.,"Ever since Roe , posters, who is pro-life, and pamphlets have depicted isolated fetuses .","It 's been argued that posters, who is pro-life, are seeking to humanize the unborn through these depictions .",1,neutral,matched,1,0
typeform/distilbert-base-uncased-mnli,appositive,4,"Zoom-out vs. zoom- Ever since Roe , pro-life posters and pamphlets have depicted isolated fetuses.",It's been argued that pro-life posters are seeking to humanize the unborn through these depictions.,"Ever since Roe , pro-life posters, a notable participant, and pamphlets have depicted isolated fetuses .","It 's been argued that pro-life posters, a notable participant, are seeking to humanize the unborn through these depictions .",1,neutral,matched,1,0
typeform/distilbert-base-uncased-mnli,extra_relative,4,"Zoom-out vs. zoom- Ever since Roe , pro-life posters and pamphlets have depicted isolated fetuses.",It's been argued that pro-life posters are seeking to humanize the unborn through these depictions.,"Zoom, who is known to the local community, - out vs. zoom -","It 's been argued that pro-life posters, who is known to the local community, are seeking to humanize the unborn through these depictions .",1,neutral,matched,1,2
typeform/distilbert-base-uncased-mnli,appositive,10,The literacy statistics change little from year to year.,The statistics with regards to literacy change slightly from year to year.,"The literacy, a notable participant, statistics change little from year to year .","The statistics, a notable participant, with regards to literacy change slightly from year to year .",0,entailment,mismatched,0,1
typeform/distilbert-base-uncased-mnli,extra_relative,10,The literacy statistics change little from year to year.,The statistics with regards to literacy change slightly from year to year.,"The literacy, who is known to the local community, statistics change little from year to year .","The statistics, who is known to the local community, with regards to literacy change slightly from year to year .",0,entailment,mismatched,0,1
typeform/distilbert-base-uncased-mnli,relative_clause,11,"One of the most significant changes in retail inventory management in recent years has been the introduction of vendor-managed inventory?(VMI) programs, also known as Continuous Replenishment Programs (CRP) or Continuous Product Replenishment (CPR).",Vender managed inventory was first invented in Chinese retail stores.,"One of the most changes, who is significant, in retail inventory management in recent years has been the introduction of vendor - managed inventory ? ( VMI ) programs , also known as Continuous Replenishment Programs ( CRP ) or Continuous Product Replenishment ( CPR ) .","Vender inventory, who is managed, was first invented in Chinese retail stores .",1,neutral,mismatched,1,0
typeform/distilbert-base-uncased-mnli,appositive,11,"One of the most significant changes in retail inventory management in recent years has been the introduction of vendor-managed inventory?(VMI) programs, also known as Continuous Replenishment Programs (CRP) or Continuous Product Replenishment (CPR).",Vender managed inventory was first invented in Chinese retail stores.,"One of the most significant changes, a notable participant, in retail inventory management in recent years has been the introduction of vendor - managed inventory ? ( VMI ) programs , also known as Continuous Replenishment Programs ( CRP ) or Continuous Product Replenishment ( CPR ) .","Vender managed inventory was first invented in Chinese retail, a notable participant, stores .",1,neutral,mismatched,1,0
typeform/distilbert-base-uncased-mnli,extra_relative,11,"One of the most significant changes in retail inventory management in recent years has been the introduction of vendor-managed inventory?(VMI) programs, also known as Continuous Replenishment Programs (CRP) or Continuous Product Replenishment (CPR).",Vender managed inventory was first invented in Chinese retail stores.,"One of the most significant changes, who is known to the local community, in retail inventory management in recent years has been the introduction of vendor - managed inventory ? ( VMI ) programs , also known as Continuous Replenishment Programs ( CRP ) or Continuous Product Replenishment ( CPR ) .","Vender, who is known to the local community, managed inventory was first invented in Chinese retail stores .",1,neutral,mismatched,1,0
typeform/distilbert-base-uncased-mnli,relative_clause,13, From Home Work to Modern Manufacture,Modern manufacturing has changed over time.,"From Home Work to Manufacture, who is Modern,","manufacturing, who is Modern, has changed over time .",0,entailment,mismatched,0,2
typeform/distilbert-base-uncased-mnli,appositive,13, From Home Work to Modern Manufacture,Modern manufacturing has changed over time.,"From Home Work to Modern Manufacture, a notable participant,","Modern manufacturing, a notable participant, has changed over time .",0,entailment,mismatched,0,1
